时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘
2017-10-05 16:30,阿德莱德36人,墨尔本猛虎,97,99,47,45,-2,173.5
2017-10-06 16:30,坎斯大班,伊拉瓦拉老鹰,88,87,42,46,1.5,166.5
2017-10-07 14:30,悉尼国王,阿德莱德36人,96,105,50,46,3.5,176.5
2017-10-07 17:30,珀斯野猫,布里斯班子弹,96,86,49,39,6,163.5
2017-10-08 12:00,新西兰破坏者,坎斯大班,71,82,43,39,4.5,160.5
2017-10-12 16:30,坎斯大班,阿德莱德36人,70,96,43,49,1.5,176.5
2017-10-13 14:30,新西兰破坏者,悉尼国王,87,85,54,41,-1.5,168.5
2017-10-13 18:30,珀斯野猫,伊拉瓦拉老鹰,74,64,37,43,5.5,173
2017-10-14 14:30,阿德莱德36人,墨尔本猛虎,79,99,48,54,-2,181.5
2017-10-15 12:00,悉尼国王,伊拉瓦拉老鹰,103,87,55,47,2,176
2017-10-19 14:30,新西兰破坏者,悉尼国王,90,73,55,31,1.5,172
2017-10-20 16:30,布里斯班子弹,坎斯大班,83,78,52,49,2,167.5
2017-10-20 18:30,珀斯野猫,墨尔本猛虎,89,84,43,44,2.5,171
2017-10-21 14:30,阿德莱德36人,悉尼国王,114,84,69,50,6.5,182.5
2017-10-22 12:00,墨尔本猛虎,新西兰破坏者,76,88,43,45,8.5,172.5
2017-10-22 14:00,伊拉瓦拉老鹰,布里斯班子弹,105,96,45,55,5.5,175.5
2017-10-22 16:30,坎斯大班,珀斯野猫,90,69,43,33,-3.5,161.5
2017-10-26 16:30,布里斯班子弹,新西兰破坏者,96,101,50,49,1.5,168.5
2017-10-26 18:30,珀斯野猫,伊拉瓦拉老鹰,105,74,54,37,7.5,170
2017-10-27 16:30,坎斯大班,阿德莱德36人,80,84,42,40,-2,173.5
2017-10-28 14:30,布里斯班子弹,墨尔本猛虎,87,85,46,44,-2.5,177.5
2017-10-29 12:00,伊拉瓦拉老鹰,悉尼国王,94,99,45,48,5,184
2017-11-02 14:30,新西兰破坏者,阿德莱德36人,92,88,49,40,1.5,178
2017-11-02 16:30,墨尔本猛虎,坎斯大班,87,65,48,36,7,165
2017-11-03 16:30,布里斯班子弹,伊拉瓦拉老鹰,81,112,39,56,3.5,182
2017-11-03 18:30,珀斯野猫,悉尼国王,93,69,48,32,11.5,169
2017-11-04 14:30,墨尔本猛虎,阿德莱德36人,101,84,47,47,3,183
2017-11-04 16:30,坎斯大班,新西兰破坏者,70,73,43,41,2,160.5
2017-11-05 12:00,悉尼国王,伊拉瓦拉老鹰,83,93,44,43,2,180.5
2017-11-09 14:30,新西兰破坏者,珀斯野猫,88,84,41,38,1.5,167.5
2017-11-09 16:30,坎斯大班,墨尔本猛虎,92,69,46,42,-1,163
2017-11-11 14:30,墨尔本猛虎,悉尼国王,108,90,50,47,8.5,175
2017-11-11 16:30,阿德莱德36人,伊拉瓦拉老鹰,87,96,50,39,5.5,187.5
2017-11-12 12:00,布里斯班子弹,坎斯大班,82,74,33,24,3.5,164.5
2017-11-12 16:00,珀斯野猫,新西兰破坏者,82,88,41,39,5.5,164
2017-11-16 16:30,伊拉瓦拉老鹰,悉尼国王,97,93,31,46,3,183.5
2017-11-17 16:30,布里斯班子弹,珀斯野猫,85,90,37,40,-3.5,169.5
2017-11-18 14:30,阿德莱德36人,悉尼国王,108,93,60,53,4.5,184.5
2017-11-18 16:30,坎斯大班,伊拉瓦拉老鹰,87,66,51,42,2.5,164
2017-11-19 10:00,新西兰破坏者,布里斯班子弹,90,82,35,34,8,172.5
2017-11-19 12:00,墨尔本猛虎,珀斯野猫,59,91,33,49,4.5,170
2017-11-30 16:30,悉尼国王,坎斯大班,81,72,51,32,3.5,165.5
2017-12-01 14:30,新西兰破坏者,珀斯野猫,73,89,36,35,2.5,165.5
2017-12-01 16:30,阿德莱德36人,布里斯班子弹,84,83,45,49,8,185
2017-12-02 14:30,坎斯大班,悉尼国王,80,71,35,36,4,162.5
2017-12-03 12:00,布里斯班子弹,新西兰破坏者,81,76,44,36,-2.5,172.5
2017-12-04 16:30,墨尔本猛虎,伊拉瓦拉老鹰,91,73,46,42,7.5,179
2017-12-07 14:30,新西兰破坏者,布里斯班子弹,96,89,49,47,6.5,168.5
2017-12-08 18:30,珀斯野猫,阿德莱德36人,88,79,45,34,6.5,172.5
2017-12-09 14:30,悉尼国王,布里斯班子弹,77,85,41,40,4.5,173.5
2017-12-09 16:30,坎斯大班,墨尔本猛虎,79,70,42,37,-2,160
