时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘,总得分,是否大分
2017/10/28 19:35,新疆喀什古城,九台农商银行,106,95,56,55,15.5,214,201,NO
2017/10/28 19:35,天津滨海云商,青岛国信双星,117,119,50,62,-5.5,213.5,236,YES
2017/10/28 19:35,南京同曦,北京农商银行,119,113,54,46,1.5,215.5,232,YES
2017/10/29 19:35,四川品胜,辽宁本钢,96,107,46,45,-8.5,219.5,203,NO
2017/10/29 19:35,江苏肯帝亚,北京首钢,93,87,49,43,14,203.5,180,NO
2017/10/29 19:35,八一双鹿电池,浙江稠州银行,96,103,46,42,-9.5,185.5,199,YES
2017/10/29 19:35,广州证券,上海哔哩哔哩,118,102,63,46,-2.5,207.5,220,YES
2017/10/29 19:35,广东东莞银行,深圳马可波罗,114,96,57,53,15,208.5,210,YES
2017/10/29 19:35,山东高速,山西汾酒股份,116,114,58,57,14.5,212.5,230,YES
2017/10/29 19:35,浙江广厦控股,福建SBS,105,99,48,41,14.5,218.5,204,NO
2017/10/31 19:35,深圳马可波罗,四川品胜,117,105,66,51,-2.5,213.5,222,YES
2017/10/31 19:35,广东东莞银行,广州证券,105,94,50,43,8.5,218.5,199,NO
2017/10/31 19:35,南京同曦,北京首钢,81,89,42,45,7.5,208.5,170,NO
2017/10/31 19:35,北京农商银行,山东高速,114,102,66,47,-7.5,222.5,216,NO
2017/10/31 19:35,天津滨海云商,上海哔哩哔哩,112,123,66,51,-3.5,219.5,235,YES
2017/11/1 19:35,青岛国信双星,山西汾酒股份,121,140,61,68,5.5,230.5,261,YES
2017/11/1 19:35,九台农商银行,八一双鹿电池,99,87,49,38,13.5,190.5,186,NO
2017/11/1 19:35,浙江稠州银行,浙江广厦控股,97,103,41,39,-14,219.5,200,NO
2017/11/1 19:35,福建SBS,江苏肯帝亚,116,125,60,50,4.5,214.5,241,YES
2017/11/1 19:35,新疆喀什古城,辽宁本钢,108,110,42,63,-3,215,218,YES
2017/11/2 19:35,广州证券,四川品胜,125,111,67,48,5.5,219.5,236,YES
2017/11/2 19:35,上海哔哩哔哩,广东东莞银行,87,102,48,59,-7.5,213.5,189,NO
2017/11/2 19:35,北京首钢,山东高速,86,87,34,40,-5.5,200.5,173,NO
2017/11/3 19:35,辽宁本钢,八一双鹿电池,109,84,58,48,25.5,192.5,193,YES
2017/11/3 19:35,深圳马可波罗,新疆喀什古城,111,120,57,58,-4.5,214.5,231,YES
2017/11/3 19:35,九台农商银行,浙江广厦控股,100,124,46,63,-7.5,210.5,224,YES
2017/11/3 19:35,福建SBS,南京同曦,102,109,59,53,5.5,223.5,211,NO
2017/11/3 19:35,江苏肯帝亚,浙江稠州银行,99,89,48,36,9.5,211.5,188,NO
2017/11/3 19:35,山西汾酒股份,天津滨海云商,129,117,58,53,13.5,236.5,246,YES
2017/11/3 19:35,北京农商银行,青岛国信双星,106,91,48,44,5.5,230.5,197,NO
2017/11/4 19:35,广东东莞银行,四川品胜,113,109,49,56,17,213,222,YES
2017/11/5 19:35,山东高速,福建SBS,111,104,49,50,13,214.5,215,YES
2017/11/5 19:35,辽宁本钢,浙江广厦控股,101,117,44,63,8,214.5,218,YES
2017/11/5 19:35,北京首钢,青岛国信双星,111,105,56,44,5,206,216,YES
2017/11/5 19:35,上海哔哩哔哩,山西汾酒股份,128,121,63,53,4,230.5,249,YES
2017/11/5 19:35,浙江稠州银行,南京同曦,114,106,60,42,2.5,207.5,220,YES
2017/11/5 19:35,八一双鹿电池,深圳马可波罗,79,104,47,60,-13.5,187.5,183,NO
2017/11/5 19:35,广州证券,新疆喀什古城,110,137,46,76,-2,218.5,247,YES
2017/11/5 19:35,天津滨海云商,北京农商银行,96,95,48,50,-4.5,228.5,191,NO
2017/11/5 19:35,九台农商银行,江苏肯帝亚,96,108,47,56,-2,204.5,204,NO
2017/11/7 19:35,天津滨海云商,北京首钢,93,119,47,57,-4,205.5,212,YES
2017/11/7 19:35,青岛国信双星,福建SBS,112,128,48,69,6.5,228.5,240,YES
2017/11/7 19:35,南京同曦,九台农商银行,111,99,49,55,6.5,214.5,210,NO
2017/11/7 19:35,山东高速,浙江稠州银行,95,89,50,40,13,213.5,184,NO
2017/11/7 19:35,广东东莞银行,新疆喀什古城,98,95,60,47,5,219.5,193,NO
2017/11/8 19:35,八一双鹿电池,广州证券,93,94,41,51,-9.5,189.5,187,NO
2017/11/8 19:35,江苏肯帝亚,辽宁本钢,80,112,41,50,-7.5,208.5,192,NO
2017/11/8 19:35,四川品胜,上海哔哩哔哩,105,114,54,43,3.5,221.5,219,NO
2017/11/8 19:35,山西汾酒股份,北京农商银行,101,109,51,48,6.5,233.5,210,NO
2017/11/8 19:35,浙江广厦控股,深圳马可波罗,121,98,53,48,6.5,216,219,YES
2017/11/9 19:35,青岛国信双星,浙江稠州银行,104,115,47,55,7.5,219,219,NO
2017/11/9 19:35,福建SBS,天津滨海云商,121,105,72,45,10.5,227,226,NO
2017/11/9 19:35,九台农商银行,山东高速,96,151,45,68,-6,208.5,247,YES
2017/11/10 19:35,广东东莞银行,八一双鹿电池,106,92,57,37,25.5,185.5,198,YES
2017/11/10 19:35,上海哔哩哔哩,北京农商银行,123,119,54,51,7,213.5,242,YES
2017/11/10 19:35,深圳马可波罗,江苏肯帝亚,110,102,59,59,7.5,210.5,212,YES
2017/11/10 19:35,浙江广厦控股,广州证券,116,118,69,64,13.5,219.5,234,YES
2017/11/10 19:35,山西汾酒股份,北京首钢,103,113,44,62,4.5,214.5,216,YES
2017/11/10 19:35,南京同曦,辽宁本钢,110,107,48,48,-9.5,217.5,217,NO
2017/11/10 20:00,新疆喀什古城,四川品胜,121,108,62,60,14.5,221.5,229,YES
2017/11/11 19:35,浙江稠州银行,天津滨海云商,112,90,62,38,10.5,220.5,202,NO
2017/11/11 19:35,九台农商银行,青岛国信双星,137,119,65,63,2.5,225.5,256,YES
2017/11/12 19:35,上海哔哩哔哩,新疆喀什古城,110,104,62,61,-4.5,227,214,NO
2017/11/12 19:35,深圳马可波罗,南京同曦,129,98,63,47,10.5,230.5,227,NO
2017/11/12 19:35,辽宁本钢,山东高速,97,95,52,49,7.5,214.5,192,NO
2017/11/12 19:35,福建SBS,山西汾酒股份,129,111,63,49,3,236,240,YES
2017/11/12 19:35,广州证券,江苏肯帝亚,113,115,53,49,6,216.5,228,YES
2017/11/12 19:35,北京农商银行,北京首钢,113,105,47,40,1.5,201,218,YES
2017/11/12 19:35,浙江广厦控股,广东东莞银行,115,88,59,40,1.5,215,203,NO
2017/11/12 19:35,四川品胜,八一双鹿电池,113,100,55,50,12,194,213,YES
2017/11/14 19:35,天津滨海云商,九台农商银行,116,104,61,42,3,225.5,220,NO
2017/11/14 19:35,北京农商银行,福建SBS,75,91,37,49,7.5,219,166,NO
2017/11/14 19:35,广州证券,南京同曦,115,96,51,58,8,224,211,NO
2017/11/14 19:35,浙江稠州银行,山西汾酒股份,109,104,55,50,7.5,220,213,NO
2017/11/14 19:35,辽宁本钢,青岛国信双星,110,92,63,44,17,224.5,202,NO
2017/11/15 19:35,北京首钢,上海哔哩哔哩,108,98,50,46,1,210.5,206,NO
2017/11/15 19:35,山东高速,深圳马可波罗,106,99,54,44,6.5,212.5,205,NO
2017/11/15 19:35,广东东莞银行,江苏肯帝亚,93,95,42,46,10,206,188,NO
2017/11/15 19:35,四川品胜,浙江广厦控股,120,116,60,64,-5,224.5,236,YES
2017/11/15 20:00,新疆喀什古城,八一双鹿电池,95,74,46,26,17,198.5,169,NO
2017/11/16 19:35,天津滨海云商,辽宁本钢,104,115,47,50,-12,218.5,219,YES
2017/11/17 19:35,山西汾酒股份,九台农商银行,146,125,72,54,14.5,233.5,271,YES
2017/11/17 19:35,青岛国信双星,深圳马可波罗,91,102,45,59,-10,226.5,193,NO
2017/11/17 19:35,江苏肯帝亚,四川品胜,125,95,49,41,11.5,216,220,YES
2017/11/17 19:35,八一双鹿电池,上海哔哩哔哩,72,87,43,43,-12,192.5,159,NO
2017/11/17 19:35,山东高速,广州证券,129,102,65,52,8.5,212.5,231,YES
2017/11/17 19:35,广东东莞银行,南京同曦,115,85,65,34,15.5,209.5,200,NO
2017/11/17 19:35,北京首钢,福建SBS,117,110,54,52,7.5,209,227,YES
2017/11/17 19:35,新疆喀什古城,浙江广厦控股,91,86,44,48,6.5,225,177,NO
2017/11/29 19:35,北京农商银行,浙江稠州银行,101,108,54,52,6.5,205.5,209,YES
2017/11/30 19:35,南京同曦,四川品胜,120,107,55,52,3.5,223.5,227,YES
2017/11/30 19:35,浙江广厦控股,八一双鹿电池,130,97,59,61,22.5,188.5,227,YES
2017/11/30 19:35,青岛国信双星,广州证券,125,94,67,39,7,225.5,219,NO
2017/11/30 19:35,福建SBS,上海哔哩哔哩,144,139,62,62,1,222,283,YES
2017/11/30 19:35,深圳马可波罗,天津滨海云商,102,83,51,40,13.5,217.5,185,NO
2017/12/1 19:35,北京首钢,浙江稠州银行,113,104,57,53,5.5,204.5,217,YES
2017/12/1 19:35,山东高速,广东东莞银行,100,85,47,44,4,205.5,185,NO
2017/12/1 19:35,江苏肯帝亚,新疆喀什古城,115,99,57,44,-4.5,207.5,214,YES
2017/12/1 19:35,山西汾酒股份,辽宁本钢,89,96,51,36,-6.5,225.5,185,NO
2017/12/1 19:35,北京农商银行,九台农商银行,109,96,44,56,12.5,217.5,205,NO
2017/12/2 19:35,广州证券,天津滨海云商,121,95,68,44,10,217.5,216,NO
2017/12/2 19:35,上海哔哩哔哩,浙江广厦控股,95,119,44,56,-3,219.5,214,NO
2017/12/3 19:35,深圳马可波罗,山西汾酒股份,115,101,55,46,10.5,216.5,216,NO
2017/12/3 19:35,辽宁本钢,北京农商银行,105,97,50,50,13.5,208.5,202,NO
2017/12/3 19:35,九台农商银行,北京首钢,97,88,48,27,-16.5,216.5,185,NO
2017/12/3 19:35,八一双鹿电池,江苏肯帝亚,86,92,38,51,-20.5,184.5,178,NO
2017/12/3 19:35,浙江稠州银行,福建SBS,131,123,51,64,10.5,217.5,254,YES
2017/12/3 19:35,四川品胜,山东高速,105,121,55,61,-9.5,220.5,226,YES
