时间,主队,客队,主队得分,客队得分,上半场主队得分,上半场客队得分,让分,总分盘
2017-10-14 14:00,安养人参,首尔三星雷电,70,82,38,38,3.5,164.5
2017-10-14 16:00,高阳猎户座,昌原LG猎隼,74,81,34,36,-2.5,156.5
2017-10-14 18:00,蔚山现代太阳神,釜山KTF魔翼,81,73,43,37,7,153.5
2017-10-15 14:00,仁川黑色撞击者,安养人参,81,97,41,51,-1,159.5
2017-10-15 14:00,原州东浦新世代,全州宙斯盾,81,76,39,36,-5.5,154.5
2017-10-15 16:00,首尔SK骑士,高阳猎户座,94,78,42,42,6,156.5
2017-10-17 18:00,首尔三星雷电,昌原LG猎隼,74,87,42,41,6,162.5
2017-10-17 18:00,蔚山现代太阳神,首尔SK骑士,77,82,45,46,3.5,159
2017-10-18 18:00,仁川黑色撞击者,全州宙斯盾,98,92,40,40,-2.5,161
2017-10-18 18:00,高阳猎户座,原州东浦新世代,77,85,28,36,4.5,155.5
2017-10-19 18:00,安养人参,蔚山现代太阳神,94,81,40,36,4,164
2017-10-19 18:00,首尔SK骑士,昌原LG猎隼,86,70,48,37,1,161
2017-10-20 18:00,原州东浦新世代,首尔三星雷电,92,83,47,43,-3.5,158.5
2017-10-20 18:00,仁川黑色撞击者,高阳猎户座,87,90,42,44,6,164.5
2017-10-21 14:00,全州宙斯盾,蔚山现代太阳神,101,88,47,46,2,159
2017-10-21 14:00,釜山KTF魔翼,首尔SK骑士,80,81,44,35,-3.5,159.5
2017-10-21 16:00,昌原LG猎隼,安养人参,89,87,44,51,-5,162.5
2017-10-22 14:00,釜山KTF魔翼,全州宙斯盾,68,72,48,30,-2,159
2017-10-22 14:00,高阳猎户座,首尔三星雷电,90,89,46,44,-3.5,162
2017-10-22 16:00,原州东浦新世代,仁川黑色撞击者,87,80,43,47,2,164.5
2017-10-24 18:00,全州宙斯盾,安养人参,92,89,38,42,-2,168.5
2017-10-24 18:00,蔚山现代太阳神,昌原LG猎隼,88,80,37,37,1,163.5
2017-10-25 18:00,首尔三星雷电,仁川黑色撞击者,88,74,45,37,4,166.5
2017-10-25 18:00,釜山KTF魔翼,原州东浦新世代,77,79,38,44,-3,158.5
2017-10-26 18:00,高阳猎户座,蔚山现代太阳神,88,89,49,49,-2.5,165.5
2017-10-26 18:00,安养人参,首尔SK骑士,81,85,50,43,3,165.5
2017-10-27 18:00,首尔三星雷电,全州宙斯盾,94,75,51,30,2,166.5
2017-10-27 18:00,昌原LG猎隼,釜山KTF魔翼,85,81,44,40,5.5,159.5
2017-10-28 14:00,安养人参,高阳猎户座,91,90,46,43,4.5,169.5
2017-10-28 14:00,蔚山现代太阳神,仁川黑色撞击者,74,86,33,48,3,165
2017-10-28 16:00,首尔SK骑士,原州东浦新世代,90,76,42,34,4,159.5
2017-10-29 14:00,仁川黑色撞击者,昌原LG猎隼,76,53,36,22,3,167
2017-10-29 14:00,首尔三星雷电,釜山KTF魔翼,84,97,39,37,5,161
2017-10-29 16:00,全州宙斯盾,首尔SK骑士,79,96,32,46,-2.5,165.5
2017-10-31 18:00,原州东浦新世代,蔚山现代太阳神,81,90,38,39,3.5,168
2017-10-31 18:00,釜山KTF魔翼,仁川黑色撞击者,84,90,47,47,-2,163.5
2017-11-01 18:00,全州宙斯盾,高阳猎户座,90,86,42,33,3,169.5
2017-11-01 18:00,首尔三星雷电,首尔SK骑士,86,65,36,28,-3.5,167.5
2017-11-02 18:00,原州东浦新世代,昌原LG猎隼,102,98,43,44,4,163.5
2017-11-02 18:00,安养人参,釜山KTF魔翼,81,66,50,18,4.5,169
2017-11-03 18:00,仁川黑色撞击者,首尔SK骑士,82,79,42,36,-1,164.5
2017-11-03 18:00,首尔三星雷电,蔚山现代太阳神,72,73,41,26,4,168.5
2017-11-04 14:00,原州东浦新世代,安养人参,89,109,36,57,-1,168.5
2017-11-04 14:00,釜山KTF魔翼,高阳猎户座,80,92,33,56,2,166.5
2017-11-04 16:00,昌原LG猎隼,全州宙斯盾,84,99,45,54,-1,167.5
2017-11-05 14:00,高阳猎户座,首尔SK骑士,64,105,34,46,-4.5,165.5
2017-11-05 14:00,仁川黑色撞击者,蔚山现代太阳神,90,68,44,35,1.5,164
2017-11-05 16:00,首尔三星雷电,全州宙斯盾,83,95,44,41,3,171.5
2017-11-07 18:00,首尔SK骑士,釜山KTF魔翼,94,75,41,37,6.5,163.5
2017-11-07 18:00,昌原LG猎隼,首尔三星雷电,81,69,43,33,-3,167
2017-11-08 18:00,仁川黑色撞击者,安养人参,87,78,44,46,-1,170
2017-11-08 18:00,全州宙斯盾,蔚山现代太阳神,80,90,34,34,4,169.5
2017-11-09 18:00,首尔三星雷电,釜山KTF魔翼,87,75,37,44,5,164
2017-11-09 18:00,原州东浦新世代,高阳猎户座,101,91,47,41,4.5,170
2017-11-10 18:00,昌原LG猎隼,首尔SK骑士,81,87,47,41,-3,165.5
2017-11-10 18:00,安养人参,全州宙斯盾,80,99,35,57,-4.5,169.5
2017-11-11 14:00,原州东浦新世代,釜山KTF魔翼,82,73,39,48,7,165.5
2017-11-11 14:00,蔚山现代太阳神,首尔三星雷电,70,78,28,35,1.5,163
2017-11-11 16:00,仁川黑色撞击者,高阳猎户座,80,71,44,43,5,169.5
2017-11-12 14:00,安养人参,昌原LG猎隼,80,71,42,36,-1,167.5
2017-11-12 14:00,首尔SK骑士,蔚山现代太阳神,105,104,41,52,4.5,164.5
2017-11-12 16:00,全州宙斯盾,仁川黑色撞击者,83,76,39,38,1.5,171
2017-11-14 18:00,全州宙斯盾,原州东浦新世代,86,79,48,27,3.5,169.5
2017-11-14 18:00,高阳猎户座,安养人参,74,81,38,41,-1,170.5
2017-11-15 18:00,昌原LG猎隼,仁川黑色撞击者,77,79,29,45,-6,164
2017-11-15 18:00,釜山KTF魔翼,蔚山现代太阳神,89,80,49,34,-2.5,163.5
2017-11-16 18:00,首尔三星雷电,高阳猎户座,91,86,48,37,6,166
2017-11-16 18:00,全州宙斯盾,首尔SK骑士,81,76,34,35,-1,169.5
2017-11-17 18:00,昌原LG猎隼,蔚山现代太阳神,61,70,31,28,-2,163.5
2017-11-17 18:00,釜山KTF魔翼,仁川黑色撞击者,67,74,32,37,-4,163.5
2017-11-18 14:00,安养人参,原州东浦新世代,70,77,34,41,3.5,168.5
2017-11-18 14:00,首尔三星雷电,首尔SK骑士,86,88,42,41,1,166.5
2017-11-18 16:00,高阳猎户座,全州宙斯盾,77,84,37,37,-6,169.5
2017-11-19 14:00,釜山KTF魔翼,昌原LG猎隼,62,70,40,34,1,160
2017-11-19 14:00,仁川黑色撞击者,原州东浦新世代,71,74,39,38,5,160.5
2017-11-19 16:00,安养人参,首尔SK骑士,82,97,25,47,-3.5,165.5
2017-11-28 18:00,釜山KTF魔翼,全州宙斯盾,77,79,43,36,-6,163.5
2017-11-29 18:00,高阳猎户座,蔚山现代太阳神,93,94,48,44,-3,166
2017-11-29 18:00,原州东浦新世代,首尔SK骑士,91,75,49,46,-4,168
2017-11-30 18:00,安养人参,釜山KTF魔翼,87,76,44,38,6.5,162
2017-11-30 18:00,首尔三星雷电,仁川黑色撞击者,81,77,38,46,2.5,162.5
2017-12-01 18:00,蔚山现代太阳神,原州东浦新世代,65,79,26,44,-2.5,160.5
2017-12-01 18:00,全州宙斯盾,昌原LG猎隼,82,78,39,34,6.5,163.5
2017-12-02 14:00,首尔三星雷电,安养人参,82,74,39,42,1.5,165.5
2017-12-02 14:00,高阳猎户座,釜山KTF魔翼,80,74,41,29,3,161.5
2017-12-02 16:00,首尔SK骑士,仁川黑色撞击者,73,82,38,51,4,162.5
2017-12-03 14:00,安养人参,蔚山现代太阳神,78,91,31,52,4.5,162.5
2017-12-03 14:00,昌原LG猎隼,高阳猎户座,87,65,43,34,4,160
2017-12-03 16:00,首尔三星雷电,原州东浦新世代,79,74,36,35,1,162
2017-12-05 18:00,首尔三星雷电,高阳猎户座,99,100,37,43,6.5,163.5
2017-12-05 18:00,昌原LG猎隼,原州东浦新世代,75,81,41,43,-3,158.5
2017-12-06 18:00,蔚山现代太阳神,釜山KTF魔翼,90,93,38,38,6,156.5
2017-12-06 18:00,首尔SK骑士,全州宙斯盾,94,81,46,47,2.5,165
2017-12-07 18:00,原州东浦新世代,仁川黑色撞击者,82,75,42,37,3,158.5
2017-12-07 18:00,昌原LG猎隼,安养人参,93,94,43,41,-3,162
2017-12-08 18:00,高阳猎户座,首尔SK骑士,87,94,39,44,-7.5,164
2017-12-08 18:00,釜山KTF魔翼,首尔三星雷电,88,78,44,38,6,158.5
