星期 ,日期,队伍1,让分,预期胜率,得分,队伍2,让分2,预期胜率,得分2,分差,是否穿盘
Friday, Feb. 2,Pacers , ,0.37,126,Hornets ,-3,0.63,133,7,YES
Friday, Feb. 2,Hawks , ,0.12,110,Celtics ,-12,0.88,119,9,NO
Friday, Feb. 2,Lakers , ,0.38,102,Nets ,-3,0.62,99,-3,NO
Friday, Feb. 2,Trail Blazers , ,0.31,105,Raptors ,-5,0.69,130,25,YES
Friday, Feb. 2,Heat , ,0.33,97,76ers ,-4.5,0.67,103,6,YES
Friday, Feb. 2,Knicks , ,0.34,90,Bucks ,-4,0.66,92,2,NO
Friday, Feb. 2,Pelicans , ,0.28,114,Thunder ,-5.5,0.72,100,-14,NO
Friday, Feb. 2,Suns , ,0.41,97,Jazz ,-2,0.59,129,32,YES
Friday, Feb. 2,Kings , ,0.17,104,Warriors ,-10,0.83,119,15,YES
Thursday, Feb. 1,Grizzlies , ,0.25,102,Pistons ,-7,0.75,104,2,NO
Thursday, Feb. 1,Wizards , ,0.45,122,Raptors ,-1,0.55,119,-3,NO
Thursday, Feb. 1,Rockets , ,0.5,102,Spurs ,0,0.5,91,-11,NO
Thursday, Feb. 1,Bucks , ,0.27,89,T'wolves,-6,0.73,108,19,YES
Thursday, Feb. 1,Thunder , ,0.47,124,Nuggets ,-0.5,0.53,127,3,YES
Wednesday, Jan. 31,Magic , ,0.47,127,Lakers ,-0.5,0.53,105,-22,NO
Wednesday, Jan. 31,Grizzlies , ,0.24,101,Pacers ,-7,0.76,105,4,NO
Wednesday, Jan. 31,Hawks , ,0.44,110,Hornets ,-1.5,0.56,123,13,YES
Wednesday, Jan. 31,Heat , ,0.39,89,Cavaliers ,-2.5,0.61,91,2,NO
Wednesday, Jan. 31,Nets , ,0.33,116,76ers ,-4.5,0.67,108,-8,NO
Wednesday, Jan. 31,Knicks , ,0.19,73,Celtics ,-9,0.81,103,30,YES
Wednesday, Jan. 31,Bulls , ,0.23,108,Trail Blazers ,-7.5,0.77,124,16,YES
Wednesday, Jan. 31,Mavericks , ,0.48,88,Suns ,-0.5,0.52,102,14,YES
Tuesday, Jan. 30,Wizards , ,0.46,102,Thunder ,-1,0.54,96,-6,NO
Tuesday, Jan. 30,Nets , ,0.3,95,Knicks ,-5,0.7,111,16,YES
Tuesday, Jan. 30,T'wolves, ,0.25,104,Raptors ,-6.5,0.75,109,5,NO
Tuesday, Jan. 30,Cavaliers , PK,0.5,114,Pistons ,0,0.5,125,11,YES
Tuesday, Jan. 30,Magic , ,0.09,107,Rockets ,-14.5,0.91,114,7,NO
Tuesday, Jan. 30,Kings , ,0.14,114,Pelicans ,-11.5,0.86,103,-11,NO
Tuesday, Jan. 30,Nuggets , ,0.22,104,Spurs ,-7.5,0.78,106,2,NO
Tuesday, Jan. 30,Jazz , ,0.33,129,Warriors ,-4.5,0.67,99,-30,NO
Tuesday, Jan. 30,Trail Blazers , ,0.37,104,Clippers ,-3.5,0.63,96,-8,NO
Monday, Jan. 29,Hornets , ,0.35,96,Pacers ,-4,0.65,105,9,YES
Monday, Jan. 29,Hawks , ,0.28,105,T'wolves,-5.5,0.72,100,-5,NO
Monday, Jan. 29,76ers , ,0.43,95,Bucks ,-1.5,0.57,107,12,YES
Monday, Jan. 29,Suns , ,0.24,109,Grizzlies ,-7,0.76,120,11,YES
Monday, Jan. 29,Heat , ,0.45,95,Mavericks ,-1,0.55,88,-7,NO
Monday, Jan. 29,Celtics , ,0.39,111,Nuggets ,-2.5,0.61,110,-1,NO
Sunday, Jan. 28,Bucks , ,0.48,110,Bulls ,-0.5,0.52,96,-14,NO
Sunday, Jan. 28,Suns , ,0.08,102,Rockets ,-14.5,0.92,113,11,NO
Sunday, Jan. 28,Clippers , ,0.34,112,Pelicans ,-4,0.66,103,-9,NO
